title,text,subject,date,label
Federal Reserve Raises Interest Rates,The Federal Reserve announced a quarter-point increase in interest rates to combat inflation.,Politics,2023-10-01,0
Breaking: Scientists Discover Time Travel Device,Researchers claim to have invented a device that allows them to travel backwards through time.,Breaking News,2023-10-02,1
Local School Receives New Funding for Improvements,The state approved a 2 million dollar grant to upgrade technology and facilities at Central High School.,Local,2023-10-03,0
Miracle Cure Discovered That Doctors Don't Want You to Know About,A secret compound can cure every disease known to mankind but big pharma is suppressing it.,Health,2023-10-04,1
Stock Market Closes with Gains,The S&P 500 finished the day up 1.2% amid positive earnings reports from major corporations.,Economics,2023-10-05,0
Aliens Spotted Hovering Over Major Cities,Multiple witnesses reported seeing UFOs above New York and Los Angeles. Government has no comment.,Breaking News,2023-10-06,1
Tech Company Announces New Product,Apple unveiled its latest iPhone model with improved camera and battery life.,Technology,2023-10-07,0
Government Secretly Controls Weather With Satellites,Hidden documents reveal the government has been manipulating weather patterns for decades.,Politics,2023-10-08,1
University Launches New Engineering Program,The state university is opening a new department focused on sustainable energy research.,Education,2023-10-09,0
One Weird Trick to Lose 100 Pounds in a Week,Doctors hate this one simple trick that celebrities use to shed weight instantly.,Health,2023-10-10,1
Employment Rate Reaches Five-Year High,New employment statistics show job creation exceeded expectations for the third consecutive month.,Economics,2023-10-11,0
Reptilians Control World Governments,Evidence suggests that world leaders are actually shape-shifting aliens from the reptile dimension.,Politics,2023-10-12,1
Hospital Opens New Emergency Department,The regional medical center cut the ribbon on a 50-million-dollar emergency and trauma center.,Local,2023-10-13,0
Microchips in Vaccines Track Your Location,Health authorities are using vaccines as a cover to implant tracking devices in billions of people.,Health,2023-10-14,1
University Study Finds Exercise Benefits,Researchers published findings showing regular exercise reduces heart disease risk by 30%.,Science,2023-10-15,0
Moon Landing Was Faked by Hollywood,New evidence proves that the Apollo missions were filmed on a soundstage in Nevada.,Breaking News,2023-10-16,1
